City,Street,PostalCode,Country
OSLO,"Prestegårdsveien 206",0851,NO
OSLO,"Bård Skolemesters vei 116",0590,NO
HAFSLUNDSØY,"Haslestien 103",1734,NO
LILLESTRØM,"K M Nordangers vei 223",2003,NO
ARENDAL,"Centralgaten 164",4836,NO
DRAMMEN,"Lundatråkket 147",3032,NO
HARSTAD,"Snevegen 129",9403,NO
STORD,"Skotlio 195",5411,NO
TROMSDALEN,"Alfred Hansens veg 13",9020,NO
LILLESTRØM,"Badeveien 188",2003,NO
LILLESTRØM,"Vestbygata 238",2003,NO
BRENSHOLMEN,"Lensmann Hvedings vei 152",9118,NO
ELVERUM,"Gerhard Munthes veg 71",2406,NO
MOSS,"Korsveien 142",1534,NO
BORGENHAUGEN,"Bråtenlia 144",1738,NO
MOLDE,"Kreklingbakken 228",6429,NO
OSLO,"Bryggetorget 144",0250,NO
TOLVSRØD,"Rosenlundveien 70",3150,NO
LODDEFJORD,"Bjørndalsbakken 170",5171,NO
SKIEN,"Paul Kohts gate 198",3714,NO
BERGEN,"Lungegårdsbakken 149",5015,NO
HUNDVÅG,"Skipsbyggergata 97",4085,NO
LARVIK,"Valbysteinveien 79",3261,NO
STEINKJER,"Otto Sverdrups veg 158",7713,NO
NARVIK,"Kongensgate 8",8514,NO
BERGEN,"Furuveien 95",5067,NO
FOSNAVÅG,"Sjukeheimsvegen 5",6092,NO
STAVANGER,"Helmer Hanssens gate 27",4019,NO
KRÅKERØY,"Damveien 167",1672,NO
SANDNES,"Austre Tjørnvei 18",4317,NO
VETTRE,"Vettrekollen 183",1392,NO
KLAVESTADHAUGEN,"Fromholtveien 184",1743,NO
TRONDHEIM,"Høili plass 132",7052,NO
JAR,"Lillengveien 242",1358,NO
MOSJØEN,"Hubrovegen 198",8665,NO
STORD,"Hornelandsvegen 63",5412,NO
STEINKJER,"Trøavegen 48",7716,NO
LARVIK,"C A Larsens vei 138",3260,NO
ASKER,"Orestien 231",1387,NO
ASKIM,"Vangsveien 170",1814,NO
SANDEFJORD,"Namløsskogen 193",3237,NO
"MO I RANA","Snarveien 160",8624,NO
HØNEFOSS,"Søndre Elvikvei 65",3512,NO
ALTA,"Lampemyra 161",9518,NO
SKIEN,"Trollsteinlia 208",3718,NO
HAUGESUND,"Salmakervegen 66",5517,NO
BERGEN,"Ekregaten 15",5036,NO
"MO I RANA","Sagbakken 26",8626,NO
TRONDHEIM,"Tvetestien 14",7020,NO
HAUGESUND,"Grannesgata 191",5523,NO
LARVIK,"Welhavens vei 213",3269,NO
FJELLHAMAR,"Lørdagsrudveien 47",1472,NO
SANDNES,"Drengeveien 49",4306,NO
RÅDAL,"Oterveien 88",5236,NO
TOLVSRØD,"Gårdsveien 110",3154,NO
TERTNES,"Tertnesåsen 108",5113,NO
"KRISTIANSUND N","Amundbergan 167",6518,NO
SKIEN,"Halvdankroken 173",3725,NO
SKIEN,"Fjellrønningen 171",3720,NO
MANDAL,"Pileveien 40",4515,NO
DRAMMEN,"Øvre Sund 29",3018,NO
"KRISTIANSAND S","Søm terrasse 38",4637,NO
EIKSMARKA,"Slettestien 229",1359,NO
TØNSBERG,"Vestbakken 215",3123,NO
ØSTERÅS,"Østeråsbakken 247",1361,NO
OSLO,"Gladengveien 25",0661,NO
"KRISTIANSUND N","Grendals gate 35",6516,NO
SKEDSMOKORSET,"Vardelia 88",2020,NO
SKIEN,"Gvarvgata 99",3717,NO
SARPSBORG,"Korsgata 190",1723,NO
KROKELVDALEN,"Skifervegen 182",9022,NO
KRÅKERØY,"Putten 239",1676,NO
SKIEN,"Gråtenvegen 125",3732,NO
STAVANGER,"Eikesetstubben 109",4032,NO
JESSHEIM,"Skogstjernevegen 42",2052,NO
ASKER,"Ingolfs vei 118",1385,NO
MOSS,"Gartnerveien 201",1526,NO
HØNEFOSS,"Sørliveien 57",3512,NO
KOLSÅS,"Gabbroveien 79",1352,NO
OSLO,"Furukollveien 183",0495,NO
HAKADAL,"Fjellveien 99",1484,NO
"MO I RANA","Kisveien 106",8616,NO
DRAMMEN,"Muusøya 170",3023,NO
LØRENSKOG,"Robsrudstubben 28",1470,NO
MATHOPEN,"Starasvingen 172",5174,NO
ARENDAL,"Springklev 82",4838,NO
MOSS,"Torggata 125",1530,NO
TVEIT,"Fosseveien 68",4658,NO
BODØ,"Trollmyra 56",8028,NO
SANDVIKA,"Månesigden 80",1337,NO
PORSGRUNN,"Eikelia 61",3943,NO
RÅDAL,"Traneveien 194",5238,NO
DRAMMEN,"Nedre Ørengate 98",3023,NO
BERGEN,"Lynghaugen 129",5038,NO
SARPSBORG,"Kirkeveien 73",1710,NO
OSLO,"Vikengata 1",0656,NO
BERGEN,"Arnoldus Reimers gate 40",5053,NO
BODØ,"Påls vei 99",8008,NO
FREDRIKSTAD,"Grønliveien 49",1605,NO
NYBORG,"Eikåsneset 234",5131,NO
HØNEFOSS,"Arnemannsveien 188",3510,NO
